Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26.7,78.0,54.3,Sandy,Maize,5.8,16.3,23.9,17-17-17
30.8,68.3,25.8,Loamy,Cotton,7.4,7.4,40.8,17-17-17
25.5,61.0,42.3,Clayey,Sugarcane,27.3,9.8,8.8,10-26-26
28.2,71.4,33.0,Sandy,Sugarcane,32.9,21.2,11.1,DAP
23.1,42.6,63.0,Clayey,Maize,44.1,13.9,6.3,10-26-26
27.9,44.9,44.8,Clayey,Wheat,20.9,26.5,11.6,DAP
25.6,60.8,46.9,Black,Maize,21.6,19.2,21.3,14-35-14
36.6,43.5,32.8,Red,Barley,21.1,7.7,28.1,28-28
34.9,54.3,36.2,Black,Sugarcane,5.7,40.1,23.5,Urea
37.8,70.9,32.9,Black,Barley,20.1,15.0,14.5,10-26-26
21.3,54.3,29.6,Sandy,Millets,41.6,9.0,5.8,10-26-26
25.9,69.2,50.5,Red,Sugarcane,42.2,14.9,14.3,10-26-26
30.1,70.8,44.8,Clayey,Barley,33.1,5.4,6.4,10-26-26
31.5,52.6,45.3,Sandy,Maize,14.8,8.0,26.2,17-17-17
21.4,51.6,31.4,Black,Sugarcane,21.1,16.3,20.6,14-35-14
36.1,61.6,57.3,Sandy,Wheat,42.4,7.3,28.0,28-28
27.7,72.7,59.4,Black,Cotton,20.2,7.2,32.8,28-28
22.2,53.5,62.7,Black,Ground Nuts,9.7,17.6,33.0,17-17-17
37.3,50.1,44.9,Loamy,Oil seeds,12.9,11.5,27.1,17-17-17
20.9,51.1,61.3,Red,Wheat,26.0,14.9,23.6,28-28
24.4,66.9,55.5,Clayey,Tobacco,13.2,13.2,38.2,17-17-17
29.6,43.6,58.4,Sandy,Tobacco,19.1,15.1,19.7,14-35-14
29.2,49.1,50.8,Red,Paddy,14.4,29.7,37.3,Urea
22.5,53.6,29.5,Clayey,Barley,43.1,26.4,11.6,DAP
34.7,62.2,46.2,Red,Ground Nuts,16.7,42.4,13.2,20-20
26.1,54.0,54.0,Loamy,Tobacco,13.3,6.1,42.2,17-17-17
22.9,75.9,49.3,Black,Pulses,5.1,36.6,7.1,20-20
29.9,67.7,51.1,Red,Barley,25.6,25.9,8.3,DAP
33.4,66.0,59.0,Loamy,Oil seeds,9.8,22.3,8.4,20-20
24.4,78.9,40.7,Sandy,Sugarcane,42.3,39.9,10.0,DAP
30.4,59.7,32.8,Red,Pulses,11.5,20.6,27.0,Urea
23.2,77.6,63.2,Clayey,Millets,42.9,10.6,17.1,10-26-26
37.4,78.5,59.1,Clayey,Maize,9.1,7.2,29.6,17-17-17
30.0,77.4,52.8,Clayey,Paddy,21.9,18.6,16.0,14-35-14
35.8,69.6,52.9,Sandy,Paddy,15.5,27.3,15.5,20-20
35.6,76.5,45.5,Sandy,Paddy,32.5,15.3,14.1,10-26-26
36.0,53.5,40.0,Clayey,Sugarcane,18.3,17.0,18.8,14-35-14
30.6,41.2,26.5,Clayey,Pulses,40.6,23.2,10.2,DAP
33.9,48.6,49.9,Loamy,Oil seeds,18.8,20.1,19.5,14-35-14
37.6,60.7,37.9,Sandy,Pulses,39.9,5.8,26.8,28-28
20.5,78.5,58.4,Sandy,Barley,16.1,18.8,16.8,14-35-14
32.9,66.4,36.2,Loamy,Maize,43.9,33.9,11.1,DAP
27.6,49.9,39.2,Sandy,Sugarcane,5.6,5.5,20.4,17-17-17
35.4,68.1,44.0,Sandy,Oil seeds,16.2,17.8,18.0,14-35-14
31.1,65.4,26.8,Red,Oil seeds,29.4,32.6,13.6,DAP
31.9,46.5,27.8,Clayey,Wheat,36.1,34.6,14.4,DAP
30.4,55.5,50.7,Loamy,Paddy,10.0,43.5,17.5,20-20
36.3,47.8,27.8,Black,Millets,22.5,5.9,13.9,10-26-26
