soil_moisture,soil_ph,soil_temperature,nitrogen,phosphorus,potassium,area_ha,kc,et0,etc_per_day,rain_3day,temp_max,temp_min,humidity,wind_speed,depletion_mm,TAW,RAW,root_depth,water_need_level,optimal_moisture,soil_infiltration,growth_stage_enc,should_irrigate,urgency,water_litres,efficiency_score
44.96,8.78,33.3,73.85,16.7,18.26,1.256,0.46,4.256,1.958,10.51,43.99,31.17,73.11,0.51,0.0,144.0,64.8,0.9,1,55,2,0,0,0,0.0,78.42
29.67,5.87,28.12,54.67,26.84,57.01,2.876,0.63,2.163,1.362,0.67,26.76,17.0,54.21,19.63,14.6,187.0,65.45,1.1,3,70,25,1,1,2,246156.61,78.47
62.39,4.71,30.19,24.61,9.88,85.66,19.316,0.862,4.751,4.098,1.74,42.25,33.29,27.33,17.11,0.0,110.0,44.0,1.0,2,65,50,5,0,0,4656109.93,77.47
87.75,5.66,31.56,40.85,44.01,51.47,3.779,0.9,4.649,4.185,2.73,47.09,32.01,90.46,22.37,0.0,185.0,74.0,1.0,2,65,20,5,0,0,1032225.1,81.98
22.08,5.38,16.13,42.41,34.15,28.06,16.592,1.0,2.091,2.091,4.86,28.7,20.05,60.7,3.52,175.13,176.0,61.6,1.1,3,75,2,4,1,2,1114906.62,61.99
73.32,7.97,16.85,46.22,13.69,78.36,12.504,0.4,1.914,0.766,3.92,27.93,22.1,43.32,8.13,0.0,160.0,64.0,1.0,2,65,2,0,0,0,0.0,84.25
85.98,6.62,17.99,87.02,62.06,52.71,15.442,0.72,2.794,2.011,0.34,32.81,21.02,52.07,0.64,0.0,110.0,44.0,1.0,2,65,50,1,0,0,1898659.09,78.74
55.69,8.58,21.23,52.19,61.67,24.45,1.632,0.34,1.813,0.617,3.01,26.69,19.6,89.73,20.2,0.0,150.0,60.0,1.0,2,60,1,0,0,0,0.0,82.88
79.29,5.34,37.31,67.02,65.56,81.17,6.428,0.75,1.61,1.208,5.91,21.3,13.34,52.03,20.45,0.0,121.0,42.35,1.1,3,75,50,5,0,0,0.0,72.05
32.77,5.04,23.44,113.43,29.24,49.1,14.09,1.15,2.261,2.6,2.06,28.91,11.28,92.18,6.29,20.08,166.5,74.92,0.9,1,55,20,4,0,2,2043541.28,79.74
37.79,4.67,30.24,62.81,8.86,28.68,18.174,1.0,1.876,1.876,0.83,25.19,18.3,56.71,24.64,0.0,110.0,44.0,1.0,2,65,50,3,0,1,2233834.99,76.67
73.26,6.16,30.81,77.86,45.18,12.67,16.723,0.42,2.214,0.93,3.4,27.62,20.2,23.06,14.77,0.0,187.0,65.45,1.1,3,70,25,0,0,0,214071.35,84.32
55.97,5.52,31.13,25.05,56.82,37.87,18.741,0.63,1.841,1.16,6.3,22.13,12.69,28.51,23.12,0.0,132.0,46.2,1.1,3,70,40,1,0,0,0.0,83.69
59.42,6.88,21.05,15.71,72.29,81.54,12.699,0.935,2.203,2.06,6.54,28.17,18.63,74.45,22.43,0.0,162.0,72.9,0.9,1,55,10,2,0,0,617332.93,84.19
66.36,4.88,19.04,108.33,50.48,5.78,2.119,0.6,3.123,1.874,3.53,37.91,32.84,32.06,13.72,0.0,99.0,44.55,0.9,1,50,50,1,0,0,170743.47,82.84
33.98,5.96,33.66,79.71,68.69,60.9,11.409,0.42,1.536,0.645,10.84,20.81,11.03,39.89,6.1,0.0,187.0,65.45,1.1,3,70,25,0,0,0,0.0,79.03
86.36,7.34,34.87,62.8,48.27,46.86,3.985,0.48,4.236,2.033,0.58,39.67,31.02,21.82,16.14,0.0,180.0,72.0,1.0,2,65,10,0,0,0,579140.49,82.63
92.33,8.84,36.33,38.86,33.88,77.35,6.407,0.977,1.757,1.717,2.53,23.08,10.85,90.21,17.4,0.0,120.0,48.0,1.0,2,60,40,2,0,0,484254.27,81.21
64.2,8.96,18.5,64.61,70.8,67.97,13.971,0.42,3.935,1.653,4.98,39.07,29.4,42.02,20.23,0.0,187.0,65.45,1.1,3,75,25,0,0,0,613975.29,77.71
55.12,8.09,31.25,85.73,64.68,80.65,6.826,1.05,1.89,1.984,1.88,29.27,23.05,63.37,0.9,0.0,198.0,69.3,1.1,3,70,10,4,0,0,762120.6,82.84
37.92,7.16,15.76,9.3,66.7,35.62,2.629,0.48,3.341,1.604,0.27,33.67,18.66,36.19,15.57,0.0,180.0,72.0,1.0,2,65,10,0,0,1,259008.99,87.81
65.99,7.77,39.4,64.37,29.22,72.59,5.49,0.75,2.579,1.934,5.42,31.17,25.15,21.9,24.07,0.0,187.0,65.45,1.1,3,75,25,5,0,0,308381.37,86.73
